schedule_id,employee_id,startdatetime,enddatetime
1000000,1000371,2008-05-13 06:00:00,2008-06-18 18:00:00
1000001,1000371,2008-01-08 06:00:00,2008-02-14 18:00:00
1000002,1000371,2008-07-16 06:00:00,2008-08-20 18:00:00
1000003,1000371,2008-03-13 06:00:00,2008-04-16 18:00:00
1000004,1000255,2007-10-25 14:44:00,2007-11-15 15:21:00
1000005,1000371,2009-06-01 06:00:00,2009-07-06 14:12:00
1000006,1000371,2008-11-03 06:00:00,2008-12-15 14:12:00
1000007,1000371,2009-01-19 06:00:00,2009-02-24 14:12:00
1000008,1000371,2008-09-17 06:00:00,2008-10-15 14:12:00
1000009,1000371,2009-03-26 06:00:00,2009-04-27 14:12:00
1000010,1000371,2007-10-30 06:00:00,2007-12-06 14:12:00
1000011,1000281,2008-05-22 06:00:00,2008-06-19 06:00:00
1000012,1000281,2008-02-09 06:00:00,2008-03-06 06:00:00
1000013,1000281,2008-10-02 06:00:00,2008-10-30 06:00:00
1000014,1000281,2008-11-27 06:00:00,2008-12-25 06:00:00
1000015,1000281,2007-12-01 06:00:00,2008-01-12 06:00:00
1000016,1000251,2008-08-06 06:00:00,2008-09-10 06:00:00
1000017,1000251,2008-01-17 06:00:00,2008-03-05 06:00:00
1000018,1000251,2007-11-13 06:00:00,2007-12-21 06:00:00
1000019,1000251,2008-03-28 06:00:00,2008-05-03 06:00:00
1000020,1000251,2008-10-01 06:00:00,2008-11-10 06:00:00
1000021,1000251,2008-05-29 06:00:00,2008-07-02 06:00:00
1000022,1000272,2007-12-18 06:00:00,2008-01-24 06:00:00
1000023,1000272,2009-09-07 06:00:00,2009-10-12 06:00:00
1000024,1000272,2008-09-03 06:00:00,2008-10-08 06:00:00
1000025,1000272,2008-04-29 06:00:00,2008-06-04 06:00:00
1000026,1000272,2008-02-28 06:00:00,2008-04-03 06:00:00
1000027,1000272,2008-11-03 06:00:00,2008-12-08 06:00:00
1000028,1000272,2009-07-06 06:00:00,2009-08-10 06:00:00
1000029,1000272,2008-07-02 06:00:00,2008-08-06 06:00:00
1000030,1000272,2009-05-11 06:00:00,2009-06-08 06:00:00
1000031,1000252,2008-11-06 06:00:00,2008-12-18 06:00:00
1000032,1000252,2009-04-23 06:00:00,2009-06-04 06:00:00
1000033,1000252,2008-02-21 06:00:00,2008-04-10 06:00:00
1000034,1000252,2008-05-15 06:00:00,2008-06-26 06:00:00
1000035,1000252,2007-11-29 06:00:00,2008-01-10 06:00:00
1000036,1000252,2009-07-24 06:00:00,2009-08-17 06:00:00
1000037,1000252,2009-01-29 06:00:00,2009-03-12 06:00:00
1000038,1000252,2008-08-14 06:00:00,2008-09-25 06:00:00
1000039,1000266,2009-06-04 06:00:00,2009-07-23 06:00:00
1000040,1000266,2009-08-15 06:00:00,2009-10-01 06:00:00
1000041,1000266,2008-12-18 06:00:00,2009-01-29 06:00:00
1000042,1000266,2008-04-03 06:00:00,2008-05-15 06:00:00
1000043,1000266,2007-10-18 06:00:00,2007-11-29 06:00:00
1000044,1000266,2009-03-12 06:00:00,2009-04-23 06:00:00
1000045,1000266,2008-06-19 06:00:00,2008-08-21 06:00:00
1000046,1000266,2008-01-10 06:00:00,2008-02-21 06:00:00
1000047,1000266,2008-09-25 06:00:00,2008-11-06 06:00:00
1000048,1000360,2009-01-08 06:00:00,2009-02-19 06:00:00
1000049,1000360,2009-04-02 06:00:00,2009-05-21 06:00:00
1000050,1000360,2008-02-14 06:00:00,2008-04-10 06:00:00
1000051,1000360,2008-10-30 06:00:00,2008-12-04 06:00:00
1000052,1000360,2008-08-14 06:00:00,2008-10-02 06:00:00
1000053,1000360,2009-09-17 06:00:00,2009-10-29 06:00:00
1000054,1000360,2007-11-22 06:00:00,2008-01-03 06:00:00
1000055,1000360,2009-06-20 06:00:00,2009-08-06 06:00:00
1000056,1000360,2008-05-29 06:00:00,2008-07-10 06:00:00
1000057,1000390,2008-01-03 06:00:00,2008-02-14 06:00:00
1000058,1000390,2008-07-10 06:00:00,2008-08-28 06:00:00
1000059,1000390,2008-10-02 06:00:00,2008-10-30 06:00:00
1000060,1000390,2007-10-09 06:00:00,2007-11-24 06:00:00
1000061,1000390,2008-04-03 06:00:00,2008-06-05 06:00:00
1000062,1000274,2008-01-24 06:00:00,2008-03-13 06:00:00
1000063,1000274,2008-12-11 06:00:00,2009-01-22 06:00:00
1000064,1000274,2008-08-28 06:00:00,2008-10-30 06:00:00
1000065,1000274,2009-05-28 06:00:00,2009-07-09 06:00:00
1000066,1000274,2008-05-07 06:00:00,2008-07-15 06:00:00
1000067,1000274,2007-10-11 06:00:00,2007-12-13 06:00:00
1000068,1000274,2009-03-05 06:00:00,2009-04-16 06:00:00
1000069,1000274,2009-08-20 06:00:00,2009-10-01 06:00:00
1000070,1000644,2009-01-08 06:00:00,2009-02-19 06:00:00
1000071,1000644,2008-03-13 06:00:00,2008-05-15 06:00:00
1000072,1000644,2007-12-13 06:00:00,2008-01-31 06:00:00
1000073,1000644,2008-07-15 06:00:00,2008-08-28 06:00:00
1000074,1000644,2008-10-16 06:00:00,2008-11-27 06:00:00
1000075,1000644,2009-06-25 06:00:00,2009-08-06 06:00:00
1000076,1000644,2009-04-02 06:00:00,2009-05-14 06:00:00
1000077,1000644,2009-12-10 06:00:00,2010-01-21 06:00:00
1000078,1000250,2008-04-03 06:00:00,2008-05-15 06:00:00
1000079,1000250,2008-06-26 06:00:00,2008-08-12 06:00:00
1000080,1000250,2008-12-13 06:00:00,2009-01-27 06:00:00
1000082,1000250,2009-03-07 06:00:00,2009-04-21 06:00:00
1000083,1000250,2008-01-08 06:00:00,2008-02-21 06:00:00
1000084,1000250,2009-05-30 06:00:00,2009-07-14 06:00:00
1000085,1000250,2008-09-18 06:00:00,2008-10-30 06:00:00
1000086,1000658,2008-02-26 06:00:00,2008-04-03 06:00:00
1000087,1000658,2008-05-13 06:00:00,2008-06-26 06:00:00
1000088,1000658,2009-07-28 06:00:00,2009-09-10 06:00:00
1000089,1000658,2008-08-07 06:00:00,2008-09-18 06:00:00
1000090,1000658,2008-10-30 06:00:00,2008-12-11 06:00:00
1000091,1000658,2009-05-05 06:00:00,2009-06-18 06:00:00
1000092,1000658,2009-01-29 06:00:00,2009-03-12 06:00:00
1000093,1000658,2009-10-20 06:00:00,2009-12-03 06:00:00
1000094,1000658,2007-12-18 06:00:00,2008-01-31 06:00:00
1000095,1001040,2008-10-07 06:00:00,2008-11-13 06:00:00
1000096,1001040,2008-04-22 06:00:00,2008-06-05 06:00:00
1000097,1001040,2008-07-15 06:00:00,2008-08-28 06:00:00
